county_fips,year,total_cases,total_dafw,total_djtr
01013,2023,1.0,0.0,0.0
01041,2023,1.0,0.0,0.0
01057,2020,2.0,0.0,0.0
01057,2021,2.0,0.0,0.0
01057,2022,2.0,0.0,0.0
01073,2016,2.0,0.0,0.0
01073,2017,2.0,0.0,0.0
01073,2018,4.0,0.0,0.0
01073,2023,1.0,0.0,0.0
01097,2016,2.0,0.0,0.0
01097,2017,2.0,0.0,0.0
01097,2018,2.0,0.0,0.0
01117,2018,2.0,0.0,0.0
01125,2016,2.0,0.0,0.0
01125,2020,2.0,0.0,0.0
01125,2021,2.0,0.0,0.0
01125,2022,2.0,0.0,0.0
01127,2020,2.0,0.0,0.0
01127,2021,2.0,0.0,0.0
01127,2022,2.0,0.0,0.0
02020,2016,27.0,0.0,0.0
02020,2017,22.0,0.0,0.0
02020,2018,20.0,0.0,0.0
02020,2019,9.0,0.0,0.0
02020,2020,16.0,0.0,0.0
02020,2021,13.0,0.0,0.0
02020,2022,24.0,0.0,0.0
02020,2023,20.0,0.0,0.0
02122,2016,2.0,0.0,0.0
02122,2017,2.0,0.0,0.0
02122,2018,2.0,0.0,0.0
02122,2020,2.0,0.0,0.0
02122,2023,1.0,0.0,0.0
02170,2016,1.0,0.0,0.0
02185,2016,10.0,0.0,0.0
02185,2017,7.0,0.0,0.0
02185,2018,1.0,0.0,0.0
02185,2021,2.0,0.0,0.0
04013,2020,1.0,0.0,0.0
04013,2021,2.0,0.0,0.0
04019,2023,1.0,0.0,0.0
04021,2023,1.0,0.0,0.0
05023,2016,1.0,0.0,0.0
05027,2021,2.0,0.0,0.0
05045,2016,6.0,0.0,0.0
05045,2017,4.0,0.0,0.0
05119,2023,1.0,0.0,0.0
05139,2016,2.0,0.0,0.0
05139,2021,2.0,0.0,0.0
05141,2016,1.0,0.0,0.0
06001,2016,2.0,0.0,0.0
06001,2017,1.0,0.0,0.0
06001,2023,1.0,0.0,0.0
06007,2018,2.0,0.0,0.0
06013,2016,6.0,0.0,0.0
06013,2017,2.0,0.0,0.0
06019,2016,2.0,0.0,0.0
06019,2022,2.0,0.0,0.0
06019,2023,1.0,0.0,0.0
06029,2016,15.0,0.0,0.0
06029,2017,19.0,0.0,0.0
06029,2018,19.0,0.0,0.0
06029,2019,9.0,0.0,0.0
06029,2020,25.0,0.0,0.0
06029,2021,27.0,0.0,0.0
06029,2022,25.0,0.0,0.0
06029,2023,22.0,0.0,0.0
06037,2016,4.0,0.0,0.0
06037,2017,2.0,0.0,0.0
06037,2018,3.0,0.0,0.0
06037,2021,2.0,0.0,0.0
06037,2023,1.0,0.0,0.0
06053,2016,2.0,0.0,0.0
06053,2022,4.0,0.0,0.0
06053,2023,2.0,0.0,0.0
06059,2017,2.0,0.0,0.0
06059,2018,2.0,0.0,0.0
06059,2021,1.0,0.0,0.0
06059,2023,1.0,0.0,0.0
06065,2017,1.0,0.0,0.0
06065,2018,1.0,0.0,0.0
06065,2020,1.0,0.0,0.0
06071,2017,2.0,0.0,0.0
06079,2021,3.0,0.0,0.0
06079,2022,1.0,0.0,0.0
06079,2023,4.0,0.0,0.0
06083,2016,8.0,0.0,0.0
06083,2017,7.0,0.0,0.0
06083,2018,2.0,0.0,0.0
06083,2019,4.0,0.0,0.0
06083,2020,4.0,0.0,0.0
06083,2021,8.0,0.0,0.0
06083,2022,6.0,0.0,0.0
06083,2023,7.0,0.0,0.0
06101,2018,2.0,0.0,0.0
06111,2016,3.0,0.0,0.0
06111,2017,1.0,0.0,0.0
06111,2018,1.0,0.0,0.0
06111,2020,2.0,0.0,0.0
06111,2021,5.0,0.0,0.0
06111,2022,9.0,0.0,0.0
06111,2023,7.0,0.0,0.0
06113,2017,1.0,0.0,0.0
06113,2018,1.0,0.0,0.0
06113,2022,1.0,0.0,0.0
06113,2023,1.0,0.0,0.0
08001,2016,1.0,0.0,0.0
08001,2017,3.0,0.0,0.0
08001,2018,1.0,0.0,0.0
08001,2019,2.0,0.0,0.0
08001,2021,2.0,0.0,0.0
08001,2022,1.0,0.0,0.0
08001,2023,1.0,0.0,0.0
08005,2016,5.0,0.0,0.0
08005,2017,4.0,0.0,0.0
08005,2018,4.0,0.0,0.0
08005,2019,5.0,0.0,0.0
08005,2023,3.0,28.0,0.0
08007,2016,2.0,0.0,0.0
08013,2017,2.0,0.0,0.0
08013,2020,2.0,0.0,0.0
08013,2021,2.0,0.0,0.0
08013,2022,2.0,0.0,0.0
08013,2023,2.0,0.0,0.0
08014,2017,2.0,0.0,0.0
08017,2016,2.0,0.0,0.0
08017,2017,1.0,0.0,0.0
08017,2018,1.0,0.0,0.0
08017,2021,3.0,0.0,0.0
08031,2016,18.0,0.0,0.0
08031,2017,18.0,0.0,0.0
08031,2018,23.0,0.0,0.0
08031,2019,11.0,0.0,0.0
08031,2020,19.0,0.0,0.0
08031,2021,13.0,0.0,0.0
08031,2022,23.0,0.0,0.0
08031,2023,14.0,28.0,0.0
08035,2016,6.0,0.0,0.0
08035,2017,2.0,0.0,0.0
08035,2018,2.0,0.0,0.0
08035,2019,2.0,0.0,0.0
08035,2020,2.0,0.0,0.0
08039,2016,2.0,0.0,0.0
08045,2016,1.0,0.0,0.0
08045,2018,2.0,0.0,0.0
08045,2020,4.0,0.0,0.0
08045,2021,1.0,0.0,0.0
08045,2022,1.0,0.0,0.0
08045,2023,2.0,0.0,0.0
08057,2016,1.0,0.0,0.0
08057,2017,4.0,0.0,0.0
08057,2018,1.0,0.0,0.0
08057,2020,2.0,0.0,0.0
08059,2016,1.0,0.0,0.0
08059,2017,1.0,0.0,0.0
08059,2023,1.0,0.0,0.0
08067,2016,2.0,0.0,0.0
08069,2016,1.0,0.0,0.0
08069,2017,4.0,0.0,0.0
08069,2018,5.0,0.0,0.0
08069,2020,4.0,0.0,0.0
08069,2021,4.0,0.0,0.0
08069,2022,4.0,0.0,0.0
08069,2023,4.0,0.0,0.0
08071,2016,2.0,0.0,0.0
08071,2017,4.0,0.0,0.0
08071,2018,3.0,0.0,0.0
08071,2019,1.0,0.0,0.0
08071,2020,1.0,0.0,0.0
08075,2016,2.0,0.0,0.0
08075,2021,2.0,0.0,0.0
08077,2016,4.0,0.0,0.0
08077,2017,1.0,0.0,0.0
08077,2018,2.0,0.0,0.0
08077,2020,3.0,0.0,0.0
08077,2021,3.0,0.0,0.0
08077,2022,1.0,0.0,0.0
08077,2023,2.0,0.0,0.0
08081,2023,1.0,0.0,0.0
08087,2017,1.0,0.0,0.0
08087,2018,1.0,0.0,0.0
08087,2022,1.0,0.0,0.0
08103,2018,2.0,0.0,0.0
08103,2019,2.0,0.0,0.0
08103,2020,4.0,0.0,0.0
08103,2021,3.0,0.0,0.0
08103,2022,4.0,0.0,0.0
08103,2023,1.0,0.0,0.0
